Category,Store,RMSE,MAE,NRMSE_%_of_mean_sales,MAE_%_of_mean_sales,MAPE_%,sMAPE_%,Mean_Sales,n_weeks
FOODS,CA_1,1410.4065059423729,1024.106853799773,6.447277865891264,4.6814173240070085,4.5600272155534105,4.699446103388123,21876.0,8.0
FOODS,CA_2,2604.631023591552,2236.1979586464745,12.343052903002333,10.597090127222417,10.541937706564324,11.355426023709414,21102.0,8.0
FOODS,CA_3,794.2838149117292,715.2092138802345,2.8652525225656467,2.58000347704463,2.5865337344170554,2.600113862362812,27721.25,8.0
FOODS,CA_4,468.9950172939606,394.3898079626774,3.7581234608274414,3.160301357928422,3.125231298548714,3.1625893629505244,12479.5,8.0
FOODS,TX_1,788.844612793289,700.2275055700068,5.206121947521252,4.621277404807912,4.586932068464685,4.7193176056155375,15152.25,8.0
FOODS,TX_2,793.7517618932468,636.8948776389175,4.27639174028283,3.4313145808548318,3.3756416802056863,3.4318447158569465,18561.25,8.0
FOODS,TX_3,988.5557357875908,844.0362244155654,5.443401511718847,4.647616612399438,4.514667748268315,4.634801233065494,18160.625,8.0
FOODS,WI_1,1162.0698466450708,999.0620345177513,6.083060436415402,5.229767172124043,5.188926433883881,5.321996539794315,19103.375,8.0
FOODS,WI_2,2910.2060487144463,2337.804313601467,10.336786849818884,8.303668015864485,7.748519645167725,8.166153778836625,28153.875,8.0
FOODS,WI_3,1443.2739926591053,1196.961556005393,7.008565981931264,5.812468100837144,5.731609428986416,5.9747467453145084,20593.0,8.0
HOBBIES,CA_1,336.82444655318074,277.9960916558022,8.960480089204063,7.395479958919985,7.288738603768991,7.6983041175641915,3759.0,8.0
HOBBIES,CA_2,450.7430011909832,411.56225886094705,15.190597394590386,13.870157851914973,13.731174317275013,14.956625805582217,2967.25,8.0
HOBBIES,CA_3,294.0848540126807,269.4487977271413,7.230335388615033,6.6246362267344745,6.608393814132743,6.646624860488461,4067.375,8.0
HOBBIES,CA_4,315.11505690643355,279.9666125777746,11.9730251971098,10.637534555317961,10.497916000184423,11.200107018888266,2631.875,8.0
HOBBIES,TX_1,237.02943954612581,201.53640860000587,11.684241274071148,9.934631023476783,9.81577054617729,10.487736078128366,2028.625,8.0
HOBBIES,TX_2,298.0950443078574,278.3966605562118,10.804459742945175,10.090491502581074,9.966404509481592,10.411780732576833,2759.0,8.0
HOBBIES,TX_3,296.1371806840733,269.14381323268066,10.364412658467874,9.41968022513538,9.311521741298817,9.864432211445939,2857.25,8.0
HOBBIES,WI_1,309.99059247229445,239.5429944273867,10.539416658641546,8.144258204076046,7.922440490706579,8.463000196029608,2941.25,8.0
HOBBIES,WI_2,468.0083259580251,394.9923660146718,22.792150774117008,19.236250856013722,19.067084890633684,22.00685124955728,2053.375,8.0
HOBBIES,WI_3,366.43106693270744,329.6164388237954,18.77208334696247,16.886088054497716,16.50752646439379,18.355621187063765,1952.0,8.0
HOUSEHOLD,CA_1,346.20077595075134,267.09911758109683,4.975757622086901,3.8388720143882265,3.8802320175181273,3.888771012921652,6957.75,8.0
HOUSEHOLD,CA_2,877.8422075395412,810.1348731310986,10.906904485799107,10.065662833212382,9.977594449494559,10.589176412290444,8048.5,8.0
HOUSEHOLD,CA_3,258.08623394708684,211.20984276494846,2.097537305785292,1.7165600728605845,1.7153198058258952,1.7081045191488773,12304.25,8.0
HOUSEHOLD,CA_4,353.2696752188704,274.90122278665467,9.012268891708802,7.013009924720933,6.854989925105117,7.256853511932629,3919.875,8.0
HOUSEHOLD,TX_1,510.3790043729962,363.6121472323442,7.750483162779692,5.521719743092868,5.363802224991238,5.547553770766469,6585.125,8.0
HOUSEHOLD,TX_2,401.09233211153435,285.93262536266855,5.878102617594114,4.190409985530425,4.19087206070565,4.209415981641684,6823.5,8.0
HOUSEHOLD,TX_3,505.2410400109856,432.28671160707177,7.524486326652428,6.4379874022312755,6.392189860859005,6.414328822336418,6714.625,8.0
HOUSEHOLD,WI_1,274.2171015064394,237.3127784221033,5.100290179604564,4.4138896758505215,4.382308186125646,4.514190509540465,5376.5,8.0
HOUSEHOLD,WI_2,689.4000630515329,550.684211551589,8.79813754971168,7.027843046952608,6.9640523500662495,7.368862374796764,7835.75,8.0
HOUSEHOLD,WI_3,486.1883724785123,397.53604075987505,8.479598377614726,6.933415435433518,6.752134057438306,7.084707333788737,5733.625,8.0
